"user_id","total_spent","number_of_scans"
"634ca988da0f5faf4764d3f6",36.88,8
"61fda39dc6faa65c28c1f460",36.86,8
"62d702602cfb4591e3bd46ec",36.84,8
"66647c417c0469953bfcc865",36.20,8
"63b2dd629f3fc9c754733112",36.02,8
"6348a5083f72c44d6794a4f0",36.02,8
"60ea0f9e16b87720250d87b6",35.84,8
"625f0268e3a4a82bb440774e",35.66,8
"6270518c2d59654c5591e1a1",35.55,8
"5ed06acb7178d413b062ed61",35.39,8
"5b649e44719e547394dbdb03",34.90,8
"642ed3aa44f22b2ce4303f70",34.88,8
"5f028760c5da18146f8e5f1b",34.81,8
"64a7141ce59a088dc6e28249",34.59,8
"6595846fa19104bccf2ebd5a",34.53,8
"63c1c1373d310dceeac54716",34.46,8
"5fb2c947b69b7246c296f03e",34.46,8
"61be50086ad38158030e5984",33.94,8
"634f1ee6da0f5faf4766db72",33.84,8
"620d62d482ffad19852e78bb",33.18,8
"626ed0ec948c8e671ea01077",32.95,8
"6132c151e5e9e51723ce9184",32.88,8
"5e038cebcb322c11de193bb7",32.51,8
"6605cc0c7756e548cb8707a3",32.20,8
"638ba05002a4e512e0549063",32.10,8
"64c078380617f5214e9a30eb",31.53,8
"65e3294f16cc391732140160",31.44,8
"5d40d6666482b759951984a5",31.35,8
"6244a97e69731f6dfcb97dc9",30.79,8
"666b2fbc9b856c66cd1574f7",30.65,8
"62f176ce678af3b6c97105fc",30.34,8
"656d44efbc6a13d85a5dbb89",29.98,8
"64b06ae9a13e1af42fda56b3",29.98,8
"5bee0aad839bf65093781345",29.81,8
"61b3bd4368a0cb2b897a7fa1",29.69,8
"5c1be44740b6a912a4d5b3ff",29.51,8
"65a46a23b08449ff8da99881",29.33,8
"5d25fe29b292772469cf0bd2",28.81,8
"6517516455f575777d100a78",28.80,8
"5bd891eb2342e45172f349aa",28.53,8
"5a425856e4b09d5e0c9d749f",28.34,8
"666669c5e04f743a096e6e1e",28.19,8
"63ff8dba38f010745ba3c9d1",28.01,8
"5ed9ac9c9c56f813f142a42a",27.97,8
"5a6b6f35e4b00bcc4d7fc708",27.86,8
"6369a90bf6269159fcb3b549",27.47,8
"66355ef6b7b24d45d9397c9d",27.42,8
"63725a10d55f5b4e9fb3b61e",27.24,8
"5d8d5da1c309e91061ce3733",26.79,8
"608310dbeb15d564f519e93e",26.68,8
"61f4b71c6e9ab51af0bb9a97",26.62,8
"60f75020d418d04106da56ac",26.51,8
"640165ab38f010745ba500c4",26.05,8
"602bdd14739add12d1f295a6",25.53,8
"612d5beb83df8b7fc1cc807d",25.50,8
"63e463bab300942c9c2c63bb",25.35,8
"5fd25eac951c9c129df21f87",25.35,8
"638e309402a4e512e057be84",25.26,8
"60b6e479f45c28035450eea9",25.18,8
"630d63d2f42be0d19922e092",25.12,8
"63c037eb3d310dceeac3d923",25.06,8
"5b54d2723a61193cbda1d077",24.72,8
"605002c3512b501279012b1a",24.55,8
"6104b6a0882a7f6c4ed5f5cb",24.43,8
"60ef472580158f6d6dd96a56",24.42,8
"664bf4d27c0469953bf91f44",23.97,8
"635d695af0c9155ff44d69f1",23.97,8
"64d3bc89c606ac0829970c9a",23.92,8
"622d39c4669e94391a4e447d",23.90,8
"63bc21423d310dceeac1399b",23.77,8
"65eb96d27756e548cb835145",23.70,8
"5f4918e2347ee428615e7088",23.64,8
"660b08b5828f877fdee92af8",23.54,8
"60edbda70872560795466eff",23.54,8
"6478c32ba55bb77a0e282163",23.28,8
"5f55a52524bff315e67eb0f5",23.12,8
"5b689e9940c9583606d65a59",22.67,8
"5e45bad25f7f0c131f0ea493",22.65,8
"62cdedfea34160b30031c7a1",22.37,8
"5ed4fbc746278a13f7d2fd93",22.26,8
"604045572a19b2129718c4e3",22.12,8
"60c24151ca21a77bf10850dd",22.10,8
"615600c03b16c63915ab94de",21.88,8
"62e750a348cc27464565ab25",21.86,8
"5fc8330d9ee778128b5d2b38",21.65,8
"616995579d6241487226b262",21.61,8
"5f598311d5078915c2d60f6b",21.45,8
"61362620c87f0708e6224a62",21.38,8
"5e113f59fa89011209663b20",21.27,8
"622b710f1df8de746bc44722",21.08,8
